Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2021-06-20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;36,00;0,00;0,00;0,00;0,00;23,00;15,00;0,00;0,00;0,00;0,00;23,00
2021-06-27;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;207,00;36,00;0,00;0,00;0,00;0,00;0,00
2021-07-04;37,00;0,00;0,00;0,00;0,00;0,00;0,00;212,75;0,00;0,00;0,00;0,00;0,00;0,00;254,38;111,00;0,00;0,00;0,00;0,00;0,00
2021-07-11;79,00;0,00;39,00;0,00;0,00;0,00;0,00;355,50;0,00;0,00;0,00;0,00;0,00;0,00;116,18;79,00;0,00;0,00;0,00;0,00;158,00
2021-07-18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;53,00;0,00;0,00;0,00;0,00;0,00;26,00
2021-07-25;0,00;0,00;37,00;0,00;0,00;0,00;0,00;38,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;16,00;0,00;0,00;0,00;0,00;0,00
2021-08-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;16,00;0,00;0,00;0,00;0,00;0,00
2021-08-08;0,00;0,00;0,00;0,00;37,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;8,00;0,00;0,00;0,00;0,00;0,00
2021-08-15;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;67,50;67,50;0,00;0,00;0,00;0,00;0,00
2021-08-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;24,00
